Date,Hour,MailRelayed,Spam,Virus
2026-08-15,00:00,682,984,92
2026-08-15,01:00,645,1665,41
2026-08-15,02:00,406,963,13
2026-08-15,03:00,373,877,7
2026-08-15,04:00,373,573,69
2026-08-15,05:00,458,473,37
2026-08-15,06:00,771,411,13
2026-08-15,07:00,856,666,13
2026-08-15,08:00,1113,371,8
2026-08-15,09:00,1368,1640,31
2026-08-15,10:00,1437,1029,46
2026-08-15,11:00,1450,1272,35
2026-08-15,12:00,1059,837,72
2026-08-15,13:00,1217,1072,27
2026-08-15,14:00,1141,1858,3
2026-08-15,15:00,843,2587,4
2026-08-15,16:00,673,3029,3
2026-08-15,17:00,769,2665,5
2026-08-15,18:00,797,3846,7
2026-08-15,19:00,974,967,4
2026-08-15,20:00,781,1377,6
2026-08-15,21:00,798,1355,7
2026-08-15,22:00,736,873,5
2026-08-15,23:00,703,917,4
2026-08-16,00:00,710,1159,4
2026-08-16,01:00,509,1307,7
2026-08-16,02:00,402,496,11
2026-08-16,03:00,763,1052,15
2026-08-16,04:00,436,470,8
2026-08-16,05:00,444,517,14
2026-08-16,06:00,547,394,17
2026-08-16,07:00,725,497,11
2026-08-16,08:00,1261,970,13
2026-08-16,09:00,1769,978,98
2026-08-16,10:00,1560,1371,33
2026-08-16,11:00,907,777,25
2026-08-16,12:00,865,733,62
2026-08-16,13:00,872,618,60
2026-08-16,14:00,827,1063,55
2026-08-16,15:00,685,1026,38
2026-08-16,16:00,808,2177,96
2026-08-16,17:00,785,3409,9
2026-08-16,18:00,764,2262,46
2026-08-16,19:00,771,3648,22
2026-08-16,20:00,661,2303,56
2026-08-16,21:00,730,3254,0
2026-08-16,22:00,759,1622,35
2026-08-16,23:00,904,1984,41
2026-08-17,00:00,778,1591,41
2026-08-17,01:00,743,1104,81
2026-08-17,02:00,718,1083,157
2026-08-17,03:00,1190,1639,82
2026-08-17,04:00,760,1492,153
2026-08-17,05:00,646,1529,583
2026-08-17,06:00,932,977,190
2026-08-17,07:00,1389,1537,352
2026-08-17,08:00,2112,1627,357
2026-08-17,09:00,3274,887,154
2026-08-17,10:00,2945,1178,305
2026-08-17,11:00,2821,2632,655
2026-08-17,12:00,2824,1507,322
2026-08-17,13:00,2758,1769,408
2026-08-17,14:00,3226,1303,143
2026-08-17,15:00,5552,5484,132
2026-08-17,16:00,1538,2676,125
2026-08-17,17:00,1336,2833,298
2026-08-17,18:00,1040,1648,78
2026-08-17,19:00,1381,2011,143
2026-08-17,20:00,905,2801,37
2026-08-17,21:00,889,2133,35
2026-08-17,22:00,650,2104,36
2026-08-17,23:00,809,636,31
2026-08-18,00:00,823,887,38
2026-08-18,01:00,550,1584,31
2026-08-18,02:00,1669,3388,22
2026-08-18,03:00,589,2247,31
